,グラフ,順位,チーム,勝点,試合,勝,分,敗,得点,失点,得失点差,直近試合の勝敗,Unnamed: 12,Unnamed: 13,year,カテゴリ,節,stage,年間勝点順位,総勝点,Unnamed: 14,Unnamed: 15
17,グラフ,18,モンテディオ山形,10,17,1,7,9,10,29,-19,,,,2015,J1,17,2ｓｔ,18.0,24.0,,60.0
0,グラフ,1,ヴァンフォーレ甲府,3,1,1,0,0,2,0,2,,,151.0,2016,J1,1,１ｓｔ,,,,
1,グラフ,2,浦和レッズ,3,1,1,0,0,2,1,1,,,111.0,2016,J1,1,１ｓｔ,,,,
2,グラフ,2,アルビレックス新潟,3,1,1,0,0,2,1,1,,,191.0,2016,J1,1,１ｓｔ,,,,
3,グラフ,2,サガン鳥栖,3,1,1,0,0,2,1,1,,,412.0,2016,J1,1,１ｓｔ,,,,
4,グラフ,5,ベガルタ仙台,3,1,1,0,0,1,0,1,,,41.0,2016,J1,1,１ｓｔ,,,,
5,グラフ,5,鹿島アントラーズ,3,1,1,0,0,1,0,1,,,80.0,2016,J1,1,１ｓｔ,,,,
6,グラフ,5,大宮アルディージャ,3,1,1,0,0,1,0,1,,,112.0,2016,J1,1,１ｓｔ,,,,
7,グラフ,5,川崎フロンターレ,3,1,1,0,0,1,0,1,,,142.0,2016,J1,1,１ｓｔ,,,,
8,グラフ,5,名古屋グランパス,3,1,1,0,0,1,0,1,,,231.0,2016,J1,1,１ｓｔ,,,,
9,グラフ,10,柏レイソル,0,1,0,0,1,1,2,-1,,,122.0,2016,J1,1,１ｓｔ,,,,
10,グラフ,10,湘南ベルマーレ,0,1,0,0,1,1,2,-1,,,147.0,2016,J1,1,１ｓｔ,,,,
11,グラフ,10,アビスパ福岡,0,1,0,0,1,1,2,-1,,,401.0,2016,J1,1,１ｓｔ,,,,
12,グラフ,13,ＦＣ東京,0,1,0,0,1,0,1,-1,,,130.0,2016,J1,1,１ｓｔ,,,,
13,グラフ,13,横浜Ｆ・マリノス,0,1,0,0,1,0,1,-1,,,143.0,2016,J1,1,１ｓｔ,,,,
14,グラフ,13,ジュビロ磐田,0,1,0,0,1,0,1,-1,,,222.0,2016,J1,1,１ｓｔ,,,,
15,グラフ,13,ガンバ大阪,0,1,0,0,1,0,1,-1,,,271.0,2016,J1,1,１ｓｔ,,,,
16,グラフ,13,サンフレッチェ広島,0,1,0,0,1,0,1,-1,,,341.0,2016,J1,1,１ｓｔ,,,,
17,グラフ,18,ヴィッセル神戸,0,1,0,0,1,0,2,-2,,,281.0,2016,J1,1,１ｓｔ,,,,
0,グラフ,1,川崎フロンターレ,3,1,1,0,0,3,0,3,,,,2016,J1,1,2ｓｔ,1.0,41.0,,142.0
1,グラフ,1,横浜Ｆ・マリノス,3,1,1,0,0,3,0,3,,,,2016,J1,1,2ｓｔ,8.0,25.0,,143.0
2,グラフ,1,ヴィッセル神戸,3,1,1,0,0,3,0,3,,,,2016,J1,1,2ｓｔ,9.0,23.0,,281.0
3,グラフ,1,サンフレッチェ広島,3,1,1,0,0,3,0,3,,,,2016,J1,1,2ｓｔ,4.0,32.0,,341.0
4,グラフ,5,ガンバ大阪,3,1,1,0,0,3,1,2,,,,2016,J1,1,2ｓｔ,6.0,27.0,,271.0
5,グラフ,6,サガン鳥栖,3,1,1,0,0,3,2,1,,,,2016,J1,1,2ｓｔ,13.0,20.0,,412.0
6,グラフ,7,浦和レッズ,3,1,1,0,0,2,1,1,,,,2016,J1,1,2ｓｔ,3.0,36.0,,111.0
7,グラフ,8,大宮アルディージャ,3,1,1,0,0,1,0,1,,,,2016,J1,1,2ｓｔ,5.0,29.0,,112.0
8,グラフ,8,柏レイソル,3,1,1,0,0,1,0,1,,,,2016,J1,1,2ｓｔ,7.0,27.0,,122.0
9,グラフ,10,ＦＣ東京,0,1,0,0,1,2,3,-1,,,,2016,J1,1,2ｓｔ,10.0,23.0,,130.0
10,グラフ,11,アビスパ福岡,0,1,0,0,1,1,2,-1,,,,2016,J1,1,2ｓｔ,18.0,11.0,,401.0
11,グラフ,12,アルビレックス新潟,0,1,0,0,1,0,1,-1,,,,2016,J1,1,2ｓｔ,14.0,18.0,,191.0
12,グラフ,12,名古屋グランパス,0,1,0,0,1,0,1,-1,,,,2016,J1,1,2ｓｔ,15.0,17.0,,231.0
13,グラフ,14,鹿島アントラーズ,0,1,0,0,1,1,3,-2,,,,2016,J1,1,2ｓｔ,2.0,39.0,,80.0
14,グラフ,15,ベガルタ仙台,0,1,0,0,1,0,3,-3,,,,2016,J1,1,2ｓｔ,12.0,23.0,,41.0
15,グラフ,15,湘南ベルマーレ,0,1,0,0,1,0,3,-3,,,,2016,J1,1,2ｓｔ,16.0,16.0,,147.0
16,グラフ,15,ヴァンフォーレ甲府,0,1,0,0,1,0,3,-3,,,,2016,J1,1,2ｓｔ,17.0,15.0,,151.0
17,グラフ,15,ジュビロ磐田,0,1,0,0,1,0,3,-3,,,,2016,J1,1,2ｓｔ,11.0,23.0,,222.0
0,グラフ,1,大宮アルディージャ,6,2,2,0,0,3,0,3,,,112.0,2016,J1,2,１ｓｔ,,,,
1,グラフ,2,鹿島アントラーズ,6,2,2,0,0,2,0,2,,,80.0,2016,J1,2,１ｓｔ,,,,
2,グラフ,3,川崎フロンターレ,4,2,1,1,0,5,4,1,,,142.0,2016,J1,2,１ｓｔ,,,,
3,グラフ,4,名古屋グランパス,4,2,1,1,0,2,1,1,,,231.0,2016,J1,2,１ｓｔ,,,,
4,グラフ,5,ヴィッセル神戸,3,2,1,0,1,6,5,1,,,281.0,2016,J1,2,１ｓｔ,,,,
5,グラフ,6,ヴァンフォーレ甲府,3,2,1,0,1,2,1,1,,,151.0,2016,J1,2,１ｓｔ,,,,
6,グラフ,7,浦和レッズ,3,2,1,0,1,3,3,0,,,111.0,2016,J1,2,１ｓｔ,,,,
7,グラフ,8,ベガルタ仙台,3,2,1,0,1,2,2,0,,,41.0,2016,J1,2,１ｓｔ,,,,
8,グラフ,8,ＦＣ東京,3,2,1,0,1,2,2,0,,,130.0,2016,J1,2,１ｓｔ,,,,
9,グラフ,8,ジュビロ磐田,3,2,1,0,1,2,2,0,,,222.0,2016,J1,2,１ｓｔ,,,,
10,グラフ,8,サガン鳥栖,3,2,1,0,1,2,2,0,,,412.0,2016,J1,2,１ｓｔ,,,,
11,グラフ,12,ガンバ大阪,3,2,1,0,1,1,1,0,,,271.0,2016,J1,2,１ｓｔ,,,,
12,グラフ,13,アルビレックス新潟,3,2,1,0,1,5,7,-2,,,191.0,2016,J1,2,１ｓｔ,,,,
13,グラフ,14,湘南ベルマーレ,1,2,0,1,1,5,6,-1,,,147.0,2016,J1,2,１ｓｔ,,,,
14,グラフ,15,アビスパ福岡,1,2,0,1,1,2,3,-1,,,401.0,2016,J1,2,１ｓｔ,,,,
15,グラフ,16,横浜Ｆ・マリノス,1,2,0,1,1,1,2,-1,,,143.0,2016,J1,2,１ｓｔ,,,,
16,グラフ,16,サンフレッチェ広島,1,2,0,1,1,1,2,-1,,,341.0,2016,J1,2,１ｓｔ,,,,
17,グラフ,18,柏レイソル,0,2,0,0,2,1,4,-3,,,122.0,2016,J1,2,１ｓｔ,,,,
0,グラフ,1,川崎フロンターレ,6,2,2,0,0,6,0,6,,,,2016,J1,2,2ｓｔ,1.0,44.0,,142.0
1,グラフ,1,横浜Ｆ・マリノス,6,2,2,0,0,6,0,6,,,,2016,J1,2,2ｓｔ,7.0,28.0,,143.0
2,グラフ,3,ガンバ大阪,6,2,2,0,0,6,2,4,,,,2016,J1,2,2ｓｔ,5.0,30.0,,271.0
3,グラフ,4,浦和レッズ,6,2,2,0,0,4,1,3,,,,2016,J1,2,2ｓｔ,3.0,39.0,,111.0
4,グラフ,5,ヴィッセル神戸,4,2,1,1,0,5,2,3,,,,2016,J1,2,2ｓｔ,10.0,24.0,,281.0
5,グラフ,6,サガン鳥栖,4,2,1,1,0,5,4,1,,,,2016,J1,2,2ｓｔ,13.0,21.0,,412.0
6,グラフ,7,大宮アルディージャ,4,2,1,1,0,2,1,1,,,,2016,J1,2,2ｓｔ,6.0,30.0,,112.0
7,グラフ,8,サンフレッチェ広島,3,2,1,0,1,5,4,1,,,,2016,J1,2,2ｓｔ,4.0,32.0,,341.0
8,グラフ,9,鹿島アントラーズ,3,2,1,0,1,5,5,0,,,,2016,J1,2,2ｓｔ,2.0,42.0,,80.0
9,グラフ,10,ＦＣ東京,3,2,1,0,1,3,3,0,,,,2016,J1,2,2ｓｔ,9.0,26.0,,130.0
10,グラフ,11,柏レイソル,3,2,1,0,1,1,2,-1,,,,2016,J1,2,2ｓｔ,8.0,27.0,,122.0
11,グラフ,12,湘南ベルマーレ,3,2,1,0,1,1,3,-2,,,,2016,J1,2,2ｓｔ,14.0,19.0,,147.0
12,グラフ,13,ジュビロ磐田,1,2,0,1,1,1,4,-3,,,,2016,J1,2,2ｓｔ,11.0,24.0,,222.0
13,グラフ,14,アルビレックス新潟,0,2,0,0,2,0,2,-2,,,,2016,J1,2,2ｓｔ,15.0,18.0,,191.0
14,グラフ,15,アビスパ福岡,0,2,0,0,2,1,5,-4,,,,2016,J1,2,2ｓｔ,18.0,11.0,,401.0
15,グラフ,16,ヴァンフォーレ甲府,0,2,0,0,2,0,4,-4,,,,2016,J1,2,2ｓｔ,17.0,15.0,,151.0
16,グラフ,16,名古屋グランパス,0,2,0,0,2,0,4,-4,,,,2016,J1,2,2ｓｔ,16.0,17.0,,231.0
17,グラフ,18,ベガルタ仙台,0,2,0,0,2,1,6,-5,,,,2016,J1,2,2ｓｔ,12.0,23.0,,41.0
0,グラフ,1,川崎フロンターレ,7,3,2,1,0,8,6,2,,,142.0,2016,J1,3,１ｓｔ,,,,
1,グラフ,2,浦和レッズ,6,3,2,0,1,5,3,2,,,111.0,2016,J1,3,１ｓｔ,,,,
2,グラフ,3,大宮アルディージャ,6,3,2,0,1,4,2,2,,,112.0,2016,J1,3,１ｓｔ,,,,
3,グラフ,4,ベガルタ仙台,6,3,2,0,1,3,2,1,,,41.0,2016,J1,3,１ｓｔ,,,,
4,グラフ,4,ＦＣ東京,6,3,2,0,1,3,2,1,,,130.0,2016,J1,3,１ｓｔ,,,,
5,グラフ,4,ガンバ大阪,6,3,2,0,1,3,2,1,,,271.0,2016,J1,3,１ｓｔ,,,,
6,グラフ,7,鹿島アントラーズ,6,3,2,0,1,2,1,1,,,80.0,2016,J1,3,１ｓｔ,,,,
7,グラフ,8,ヴァンフォーレ甲府,4,3,1,1,1,3,2,1,,,151.0,2016,J1,3,１ｓｔ,,,,
8,グラフ,9,ジュビロ磐田,4,3,1,1,1,4,4,0,,,222.0,2016,J1,3,１ｓｔ,,,,
9,グラフ,9,名古屋グランパス,4,3,1,1,1,4,4,0,,,231.0,2016,J1,3,１ｓｔ,,,,
10,グラフ,11,横浜Ｆ・マリノス,4,3,1,1,1,3,3,0,,,143.0,2016,J1,3,１ｓｔ,,,,
11,グラフ,11,サガン鳥栖,4,3,1,1,1,3,3,0,,,412.0,2016,J1,3,１ｓｔ,,,,
12,グラフ,13,ヴィッセル神戸,3,3,1,0,2,6,6,0,,,281.0,2016,J1,3,１ｓｔ,,,,
13,グラフ,14,アルビレックス新潟,3,3,1,0,2,6,9,-3,,,191.0,2016,J1,3,１ｓｔ,,,,
14,グラフ,15,湘南ベルマーレ,2,3,0,2,1,7,8,-1,,,147.0,2016,J1,3,１ｓｔ,,,,
15,グラフ,16,サンフレッチェ広島,2,3,0,2,1,3,4,-1,,,341.0,2016,J1,3,１ｓｔ,,,,
16,グラフ,17,柏レイソル,1,3,0,1,2,3,6,-3,,,122.0,2016,J1,3,１ｓｔ,,,,
17,グラフ,18,アビスパ福岡,1,3,0,1,2,2,5,-3,,,401.0,2016,J1,3,１ｓｔ,,,,
0,グラフ,1,川崎フロンターレ,9,3,3,0,0,9,2,7,,,,2016,J1,3,2ｓｔ,1.0,47.0,,142.0
1,グラフ,1,横浜Ｆ・マリノス,9,3,3,0,0,9,2,7,,,,2016,J1,3,2ｓｔ,5.0,31.0,,143.0
2,グラフ,3,浦和レッズ,9,3,3,0,0,5,1,4,,,,2016,J1,3,2ｓｔ,3.0,42.0,,111.0
3,グラフ,4,ガンバ大阪,7,3,2,1,0,6,2,4,,,,2016,J1,3,2ｓｔ,6.0,31.0,,271.0
4,グラフ,5,サガン鳥栖,7,3,2,1,0,7,4,3,,,,2016,J1,3,2ｓｔ,12.0,24.0,,412.0
5,グラフ,6,鹿島アントラーズ,6,3,2,0,1,8,5,3,,,,2016,J1,3,2ｓｔ,2.0,45.0,,80.0
6,グラフ,7,大宮アルディージャ,5,3,1,2,0,2,1,1,,,,2016,J1,3,2ｓｔ,7.0,31.0,,112.0
7,グラフ,8,ヴィッセル神戸,4,3,1,1,1,7,5,2,,,,2016,J1,3,2ｓｔ,11.0,24.0,,281.0
8,グラフ,9,サンフレッチェ広島,4,3,1,1,1,8,7,1,,,,2016,J1,3,2ｓｔ,4.0,33.0,,341.0
9,グラフ,10,柏レイソル,4,3,1,1,1,4,5,-1,,,,2016,J1,3,2ｓｔ,8.0,28.0,,122.0
10,グラフ,11,ＦＣ東京,3,3,1,0,2,4,5,-1,,,,2016,J1,3,2ｓｔ,9.0,26.0,,130.0
11,グラフ,12,アビスパ福岡,3,3,1,0,2,3,6,-3,,,,2016,J1,3,2ｓｔ,18.0,14.0,,401.0
12,グラフ,13,湘南ベルマーレ,3,3,1,0,2,1,5,-4,,,,2016,J1,3,2ｓｔ,14.0,19.0,,147.0
13,グラフ,14,ジュビロ磐田,2,3,0,2,1,1,4,-3,,,,2016,J1,3,2ｓｔ,10.0,25.0,,222.0
14,グラフ,15,ヴァンフォーレ甲府,1,3,0,1,2,0,4,-4,,,,2016,J1,3,2ｓｔ,17.0,16.0,,151.0
15,グラフ,16,アルビレックス新潟,0,3,0,0,3,2,5,-3,,,,2016,J1,3,2ｓｔ,15.0,18.0,,191.0
16,グラフ,17,ベガルタ仙台,0,3,0,0,3,1,7,-6,,,,2016,J1,3,2ｓｔ,13.0,23.0,,41.0
17,グラフ,18,名古屋グランパス,0,3,0,0,3,0,7,-7,,,,2016,J1,3,2ｓｔ,16.0,17.0,,231.0
0,グラフ,1,川崎フロンターレ,10,4,3,1,0,12,6,6,,,142.0,2016,J1,4,１ｓｔ,,,,
1,グラフ,2,浦和レッズ,9,4,3,0,1,7,3,4,,,111.0,2016,J1,4,１ｓｔ,,,,
2,グラフ,3,鹿島アントラーズ,9,4,3,0,1,4,1,3,,,80.0,2016,J1,4,１ｓｔ,,,,
3,グラフ,4,名古屋グランパス,7,4,2,1,1,6,5,1,,,231.0,2016,J1,4,１ｓｔ,,,,
4,グラフ,5,横浜Ｆ・マリノス,7,4,2,1,1,5,4,1,,,143.0,2016,J1,4,１ｓｔ,,,,
5,グラフ,6,ヴィッセル神戸,6,4,2,0,2,8,7,1,,,281.0,2016,J1,4,１ｓｔ,,,,
6,グラフ,7,ベガルタ仙台,6,4,2,0,2,4,4,0,,,41.0,2016,J1,4,１ｓｔ,,,,
7,グラフ,7,ガンバ大阪,6,4,2,0,2,4,4,0,,,271.0,2016,J1,4,１ｓｔ,,,,
8,グラフ,9,ＦＣ東京,6,4,2,0,2,3,4,-1,,,130.0,2016,J1,4,１ｓｔ,,,,
9,グラフ,10,大宮アルディージャ,6,4,2,0,2,5,7,-2,,,112.0,2016,J1,4,１ｓｔ,,,,
10,グラフ,11,サンフレッチェ広島,5,4,1,2,1,8,5,3,,,341.0,2016,J1,4,１ｓｔ,,,,
11,グラフ,12,ジュビロ磐田,5,4,1,2,1,6,6,0,,,222.0,2016,J1,4,１ｓｔ,,,,
12,グラフ,13,サガン鳥栖,4,4,1,1,2,4,5,-1,,,412.0,2016,J1,4,１ｓｔ,,,,
13,グラフ,14,アルビレックス新潟,4,4,1,1,2,8,11,-3,,,191.0,2016,J1,4,１ｓｔ,,,,
14,グラフ,15,ヴァンフォーレ甲府,4,4,1,1,2,3,6,-3,,,151.0,2016,J1,4,１ｓｔ,,,,
15,グラフ,16,湘南ベルマーレ,2,4,0,2,2,7,10,-3,,,147.0,2016,J1,4,１ｓｔ,,,,
16,グラフ,17,柏レイソル,2,4,0,2,2,5,8,-3,,,122.0,2016,J1,4,１ｓｔ,,,,
17,グラフ,18,アビスパ福岡,2,4,0,2,2,4,7,-3,,,401.0,2016,J1,4,１ｓｔ,,,,
0,グラフ,1,横浜Ｆ・マリノス,10,4,3,1,0,11,4,7,,,,2016,J1,4,2ｓｔ,5.0,32.0,,143.0
1,グラフ,2,川崎フロンターレ,10,4,3,1,0,10,3,7,,,,2016,J1,4,2ｓｔ,1.0,48.0,,142.0
2,グラフ,3,浦和レッズ,10,4,3,1,0,7,3,4,,,,2016,J1,4,2ｓｔ,3.0,43.0,,111.0
3,グラフ,4,ガンバ大阪,8,4,2,2,0,6,2,4,,,,2016,J1,4,2ｓｔ,6.0,32.0,,271.0
4,グラフ,5,サガン鳥栖,8,4,2,2,0,7,4,3,,,,2016,J1,4,2ｓｔ,13.0,25.0,,412.0
5,グラフ,6,ヴィッセル神戸,7,4,2,1,1,9,5,4,,,,2016,J1,4,2ｓｔ,9.0,27.0,,281.0
6,グラフ,7,鹿島アントラーズ,7,4,2,1,1,11,8,3,,,,2016,J1,4,2ｓｔ,2.0,46.0,,80.0
7,グラフ,8,柏レイソル,7,4,2,1,1,5,5,0,,,,2016,J1,4,2ｓｔ,8.0,31.0,,122.0
8,グラフ,9,大宮アルディージャ,6,4,1,3,0,4,3,1,,,,2016,J1,4,2ｓｔ,7.0,32.0,,112.0
9,グラフ,10,サンフレッチェ広島,5,4,1,2,1,10,9,1,,,,2016,J1,4,2ｓｔ,4.0,34.0,,341.0
10,グラフ,11,アビスパ福岡,4,4,1,1,2,3,6,-3,,,,2016,J1,4,2ｓｔ,18.0,15.0,,401.0
11,グラフ,12,ＦＣ東京,3,4,1,0,3,4,6,-2,,,,2016,J1,4,2ｓｔ,10.0,26.0,,130.0
12,グラフ,13,ジュビロ磐田,3,4,0,3,1,2,5,-3,,,,2016,J1,4,2ｓｔ,11.0,26.0,,222.0
13,グラフ,14,ベガルタ仙台,3,4,1,0,3,3,8,-5,,,,2016,J1,4,2ｓｔ,12.0,26.0,,41.0
14,グラフ,15,湘南ベルマーレ,3,4,1,0,3,1,7,-6,,,,2016,J1,4,2ｓｔ,14.0,19.0,,147.0
15,グラフ,16,ヴァンフォーレ甲府,2,4,0,2,2,3,7,-4,,,,2016,J1,4,2ｓｔ,17.0,17.0,,151.0
16,グラフ,17,名古屋グランパス,1,4,0,1,3,0,7,-7,,,,2016,J1,4,2ｓｔ,16.0,18.0,,231.0
17,グラフ,18,アルビレックス新潟,0,4,0,0,4,3,7,-4,,,,2016,J1,4,2ｓｔ,15.0,18.0,,191.0
0,グラフ,1,浦和レッズ,12,5,4,0,1,9,4,5,,,111.0,2016,J1,5,１ｓｔ,,,,
1,グラフ,2,川崎フロンターレ,11,5,3,2,0,13,7,6,,,142.0,2016,J1,5,１ｓｔ,,,,
2,グラフ,3,鹿島アントラーズ,10,5,3,1,1,5,2,3,,,80.0,2016,J1,5,１ｓｔ,,,,
3,グラフ,4,横浜Ｆ・マリノス,10,5,3,1,1,7,5,2,,,143.0,2016,J1,5,１ｓｔ,,,,
4,グラフ,5,ヴィッセル神戸,9,5,3,0,2,10,8,2,,,281.0,2016,J1,5,１ｓｔ,,,,
5,グラフ,6,ＦＣ東京,9,5,3,0,2,6,6,0,,,130.0,2016,J1,5,１ｓｔ,,,,
6,グラフ,7,サンフレッチェ広島,8,5,2,2,1,11,5,6,,,341.0,2016,J1,5,１ｓｔ,,,,
7,グラフ,8,名古屋グランパス,7,5,2,1,2,8,8,0,,,231.0,2016,J1,5,１ｓｔ,,,,
8,グラフ,9,アルビレックス新潟,7,5,2,1,2,9,11,-2,,,191.0,2016,J1,5,１ｓｔ,,,,
9,グラフ,10,大宮アルディージャ,7,5,2,1,2,6,8,-2,,,112.0,2016,J1,5,１ｓｔ,,,,
10,グラフ,11,ジュビロ磐田,6,5,1,3,1,7,7,0,,,222.0,2016,J1,5,１ｓｔ,,,,
11,グラフ,12,ガンバ大阪,6,5,2,0,3,5,6,-1,,,271.0,2016,J1,5,１ｓｔ,,,,
12,グラフ,13,ベガルタ仙台,6,5,2,0,3,4,7,-3,,,41.0,2016,J1,5,１ｓｔ,,,,
13,グラフ,14,サガン鳥栖,5,5,1,2,2,5,6,-1,,,412.0,2016,J1,5,１ｓｔ,,,,
14,グラフ,15,ヴァンフォーレ甲府,4,5,1,1,3,4,8,-4,,,151.0,2016,J1,5,１ｓｔ,,,,
15,グラフ,16,柏レイソル,3,5,0,3,2,6,9,-3,,,122.0,2016,J1,5,１ｓｔ,,,,
16,グラフ,17,湘南ベルマーレ,2,5,0,2,3,8,12,-4,,,147.0,2016,J1,5,１ｓｔ,,,,
17,グラフ,18,アビスパ福岡,2,5,0,2,3,4,8,-4,,,401.0,2016,J1,5,１ｓｔ,,,,
0,グラフ,1,川崎フロンターレ,13,5,4,1,0,11,3,8,,,,2016,J1,5,2ｓｔ,1.0,51.0,,142.0
1,グラフ,2,浦和レッズ,13,5,4,1,0,9,4,5,,,,2016,J1,5,2ｓｔ,3.0,46.0,,111.0
2,グラフ,3,横浜Ｆ・マリノス,11,5,3,2,0,12,5,7,,,,2016,J1,5,2ｓｔ,6.0,33.0,,143.0
3,グラフ,4,サガン鳥栖,11,5,3,2,0,10,6,4,,,,2016,J1,5,2ｓｔ,10.0,28.0,,412.0
4,グラフ,5,柏レイソル,10,5,3,1,1,8,7,1,,,,2016,J1,5,2ｓｔ,5.0,34.0,,122.0
5,グラフ,6,サンフレッチェ広島,8,5,2,2,1,12,9,3,,,,2016,J1,5,2ｓｔ,4.0,37.0,,341.0
6,グラフ,7,ガンバ大阪,8,5,2,2,1,8,5,3,,,,2016,J1,5,2ｓｔ,7.0,32.0,,271.0
7,グラフ,8,鹿島アントラーズ,7,5,2,1,2,12,10,2,,,,2016,J1,5,2ｓｔ,2.0,46.0,,80.0
8,グラフ,9,ヴィッセル神戸,7,5,2,1,2,9,7,2,,,,2016,J1,5,2ｓｔ,11.0,27.0,,281.0
9,グラフ,10,大宮アルディージャ,6,5,1,3,1,5,5,0,,,,2016,J1,5,2ｓｔ,8.0,32.0,,112.0
10,グラフ,11,ベガルタ仙台,6,5,2,0,3,4,8,-4,,,,2016,J1,5,2ｓｔ,9.0,29.0,,41.0
11,グラフ,12,ヴァンフォーレ甲府,5,5,1,2,2,6,8,-2,,,,2016,J1,5,2ｓｔ,15.0,20.0,,151.0
12,グラフ,13,ジュビロ磐田,4,5,0,4,1,3,6,-3,,,,2016,J1,5,2ｓｔ,12.0,27.0,,222.0
13,グラフ,14,アビスパ福岡,4,5,1,1,3,5,9,-4,,,,2016,J1,5,2ｓｔ,18.0,15.0,,401.0
14,グラフ,15,アルビレックス新潟,3,5,1,0,4,5,8,-3,,,,2016,J1,5,2ｓｔ,14.0,21.0,,191.0
15,グラフ,16,ＦＣ東京,3,5,1,0,4,4,7,-3,,,,2016,J1,5,2ｓｔ,13.0,26.0,,130.0
16,グラフ,17,湘南ベルマーレ,3,5,1,0,4,1,8,-7,,,,2016,J1,5,2ｓｔ,16.0,19.0,,147.0
17,グラフ,18,名古屋グランパス,1,5,0,1,4,1,10,-9,,,,2016,J1,5,2ｓｔ,17.0,18.0,,231.0
0,グラフ,1,川崎フロンターレ,14,6,4,2,0,14,7,7,,,142.0,2016,J1,6,１ｓｔ,,,,
1,グラフ,2,鹿島アントラーズ,13,6,4,1,1,9,3,6,,,80.0,2016,J1,6,１ｓｔ,,,,
2,グラフ,3,浦和レッズ,13,6,4,1,1,9,4,5,,,111.0,2016,J1,6,１ｓｔ,,,,
3,グラフ,4,横浜Ｆ・マリノス,11,6,3,2,1,7,5,2,,,143.0,2016,J1,6,１ｓｔ,,,,
4,グラフ,5,ヴィッセル神戸,10,6,3,1,2,10,8,2,,,281.0,2016,J1,6,１ｓｔ,,,,
5,グラフ,6,大宮アルディージャ,10,6,3,1,2,8,9,-1,,,112.0,2016,J1,6,１ｓｔ,,,,
6,グラフ,7,ジュビロ磐田,9,6,2,3,1,9,8,1,,,222.0,2016,J1,6,１ｓｔ,,,,
7,グラフ,8,ガンバ大阪,9,6,3,0,3,8,7,1,,,271.0,2016,J1,6,１ｓｔ,,,,
8,グラフ,9,ＦＣ東京,9,6,3,0,3,6,7,-1,,,130.0,2016,J1,6,１ｓｔ,,,,
9,グラフ,10,サンフレッチェ広島,8,6,2,2,2,12,9,3,,,341.0,2016,J1,6,１ｓｔ,,,,
10,グラフ,11,名古屋グランパス,7,6,2,1,3,9,10,-1,,,231.0,2016,J1,6,１ｓｔ,,,,
11,グラフ,12,ヴァンフォーレ甲府,7,6,2,1,3,7,9,-2,,,151.0,2016,J1,6,１ｓｔ,,,,
12,グラフ,13,アルビレックス新潟,7,6,2,1,3,10,13,-3,,,191.0,2016,J1,6,１ｓｔ,,,,
13,グラフ,14,柏レイソル,6,6,1,3,2,7,9,-2,,,122.0,2016,J1,6,１ｓｔ,,,,
14,グラフ,15,ベガルタ仙台,6,6,2,0,4,5,10,-5,,,41.0,2016,J1,6,１ｓｔ,,,,
15,グラフ,16,サガン鳥栖,5,6,1,2,3,5,7,-2,,,412.0,2016,J1,6,１ｓｔ,,,,
16,グラフ,17,アビスパ福岡,3,6,0,3,3,4,8,-4,,,401.0,2016,J1,6,１ｓｔ,,,,
17,グラフ,18,湘南ベルマーレ,2,6,0,2,4,9,15,-6,,,147.0,2016,J1,6,１ｓｔ,,,,
0,グラフ,1,川崎フロンターレ,16,6,5,1,0,14,5,9,,,,2016,J1,6,2ｓｔ,1.0,54.0,,142.0
1,グラフ,2,浦和レッズ,16,6,5,1,0,11,4,7,,,,2016,J1,6,2ｓｔ,2.0,49.0,,111.0
2,グラフ,3,サガン鳥栖,14,6,4,2,0,11,6,5,,,,2016,J1,6,2ｓｔ,9.0,31.0,,412.0
3,グラフ,4,柏レイソル,13,6,4,1,1,10,8,2,,,,2016,J1,6,2ｓｔ,5.0,37.0,,122.0
4,グラフ,5,横浜Ｆ・マリノス,12,6,3,3,0,12,5,7,,,,2016,J1,6,2ｓｔ,7.0,34.0,,143.0
5,グラフ,6,ガンバ大阪,11,6,3,2,1,9,5,4,,,,2016,J1,6,2ｓｔ,6.0,35.0,,271.0
6,グラフ,7,ヴィッセル神戸,10,6,3,1,2,10,7,3,,,,2016,J1,6,2ｓｔ,10.0,30.0,,281.0
7,グラフ,8,サンフレッチェ広島,8,6,2,2,2,12,10,2,,,,2016,J1,6,2ｓｔ,4.0,37.0,,341.0
8,グラフ,9,鹿島アントラーズ,7,6,2,1,3,12,11,1,,,,2016,J1,6,2ｓｔ,3.0,46.0,,80.0
9,グラフ,10,ベガルタ仙台,7,6,2,1,3,5,9,-4,,,,2016,J1,6,2ｓｔ,11.0,30.0,,41.0
10,グラフ,11,大宮アルディージャ,6,6,1,3,2,5,6,-1,,,,2016,J1,6,2ｓｔ,8.0,32.0,,112.0
11,グラフ,12,ＦＣ東京,6,6,2,0,4,5,7,-2,,,,2016,J1,6,2ｓｔ,12.0,29.0,,130.0
12,グラフ,13,ヴァンフォーレ甲府,5,6,1,2,3,6,10,-4,,,,2016,J1,6,2ｓｔ,15.0,20.0,,151.0
